id,coach_type,label,cold_read_text,cost_line_pairs_with,caution,word_count
expat-churn,General,Clients leave the country,Half the people who buy from a coach in Dubai will be gone in two years. The best client on the books can just move away. Every person they would have told about you goes with them.,A pipeline that has to keep starting over with strangers.,,37
referral-ceiling,General,Word of mouth has a shape,Most coaches here get clients by word of mouth. A busy month brings another busy month. A quiet one brings another quiet one. It works right up until someone needs it to work on a set date.,No way to make a slow month busy on purpose.,,37
dm-pipeline,General,The business lives in DMs,"Most of this business happens in Instagram DMs. That works fine. It also means the calendar only fills when the posting happens, and the posting only happens when there's energy for it.","Two quiet weeks turning into a quiet month, later.",,32
summer-cliff,General,July and August empty out,"This market empties out in July and August. Everyone knows it. Almost nobody plans for it. A busy September gets built in June, back when it feels like there is no rush.",A slow autumn that was decided months earlier.,Seasonally live roughly June to mid-August.,32
free-call-only,General,The free call screens nobody,Almost every coach here starts with a free call. It costs an hour and screens nobody. The people who book it fastest are usually the ones least likely to pay.,Hours spent on people who were never going to buy.,,30
biz-client-drought,Business,Founders cut coaching first,Founders cut coaching first when their own numbers dip. So a business coach's good month depends on everybody else's good month. That is a hard thing to build a year around.,Revenue that moves with other people's bad quarters.,,31
biz-peer-audience,Business,The audience is other coaches,A business coach's audience fills up with other coaches and consultants. They like the posts. They leave good comments. Almost none of them ever hire anyone.,High engagement and an empty calendar in the same week.,,26
biz-free-session,Business,The free strategy session,"Every business coach here opens with a free strategy session. It used to stand out. Now it is just the door, and everyone walks through it.",Giving away the first hour and standing out no more than anyone else.,,26
biz-freezone-churn,Business,Free-zone founders churn,"A lot of founders here run on free-zone licences, and a good share shut down or move within two years. Programs end early for reasons that have nothing to do with the work.",Losing clients mid-program to things nobody could coach.,,33
biz-scope-drift,Business,Advice turns into doing,Business coaching turns into doing the work. It starts as advice and ends as building the thing. The hours go up. The invoice stays where it was.,"More work at the same price, agreed to halfway through.",,27
lead-procurement-wall,Leadership,The exec is not the signer,"The exec in the room is not the one who signs. It goes to L&D, then to procurement. A yes on Tuesday turns into four months.",Warm rooms going cold while paperwork moves.,,26
lead-budget-window,Leadership,Budgets are set once a year,"Corporate budgets here get set once a year, and the window to get into one is short. Miss it and the deal is not slow. It is dead for twelve months, no matter how well the meeting went.",A great conversation that cannot turn into money until next year.,,38
lead-one-and-done,Leadership,The workshop never repeats,"A workshop lands well and then nothing happens. Once the room clears, the follow-on is nobody's job. The best session anyone runs is often the last one they get booked for.",Great feedback and no second booking.,,31
lead-alumni-pipeline,Leadership,The old-colleague list runs out,"Most exec work comes from people the coach used to work with. It is a very good list. It is also a list that runs out, and there is usually nothing behind it.",A pipeline with no second source once the first one is spent.,,33
lead-priced-as-training,Leadership,Bought on a training line,"Corporates buy coaching on a training line. So it gets priced like training, per head and per day. None of that has anything to do with what actually changes.",Being paid for a day in a room instead of the result.,,29
life-price-apology,Life,"Priced low, delivered heavy",Life coaches here price low and then over-deliver to make up for it. The extra hours never raise the price. They just raise what gets expected next time.,Doing more each round for the same number.,,28
life-crisis-window,Life,They leave when the crisis lifts,"People show up in a crisis and leave when it passes. The work ends the moment it stops feeling urgent. Almost nobody stays for the good stretch, which is where most of it actually happens.",Losing clients right when the work starts compounding.,,35
life-silent-referral,Life,Happy clients stay quiet,"This work is private, so even the happiest clients tell nobody. It is the one service where the better it goes, the quieter it gets.",No word of mouth from the people it worked best for.,,25
life-category-blur,Life,The label says nothing,"""Life coach"" covers everything, so it lands as nothing in the first three seconds. The work is specific. The words on the page are not.",Being skipped before anyone reads the second line.,,25
life-posting-tax,Life,Bookings follow posting,"Bookings here follow posting. Two weeks of showing up fills a calendar. Two quiet weeks show up a month later, long after anyone connects the two.","A calendar that tracks energy for content, not quality of work.",,26
mindset-proof-gap,Mindset,The result cannot be screenshotted,The results here are real and impossible to show. Everyone else gets to post a number. This work gets a testimonial that sounds like all the others.,Being judged on proof the work cannot produce.,,27
mindset-therapy-line,Mindset,Coaching or therapy,"Most buyers cannot tell where coaching stops and therapy starts, so they wait. It is not doubt about the coach. They just do not know what they are buying.",Long gaps between real interest and a decision.,,29
mindset-reach-without-buyers,Mindset,"Big reach, empty calendar",The biggest accounts here rarely have the fullest calendars. Emotional posts travel further than anything else. They also book the worst.,Reach that keeps growing while the week stays the same shape.,Only use on rows with a genuinely large audience. On a small account it reads as a dig.,21
mindset-one-session,Mindset,They expect it in one session,"People expect the breakthrough in session one, and they price it that way in their head. The part that actually holds is the part nobody is budgeting for.",Being priced against a one-session fix.,,28
mindset-cert-flood,Mindset,The letters stopped working,There are more certified practitioners here every quarter. The letters after the name used to tell people apart. They do not any more.,Credentials that no longer decide anything.,Never send to anyone who sells or runs a certification. It insults the thing they do.,23
career-one-transaction,Career,Success ends the relationship,Career coaching ends when it works. They land the offer and that is the last anyone hears. The happiest client is also the final conversation.,No repeat business from the people it worked for.,,25
career-hiring-season,Career,Hiring runs in seasons,"Hiring here runs in seasons. January and September are busy. The months in between go quiet, and it has nothing to do with how good anyone is.",Long dead stretches that no amount of effort fixes.,,27
career-wrong-payer,Career,The money sits with employers,The person who needs the help is rarely the one with money. The budget sits with employers doing outplacement. Almost nobody in this market is talking to them.,Selling to the one person in the room without a budget.,,28
career-visa-clock,Career,Losing a job starts a clock,"Losing a job here starts a visa clock. That is a few weeks, not a few months. Miss it and they have not just gone cold, they have left the country.",A buying window measured in weeks.,,31
career-commodity-help,Career,CV help is free everywhere,CV and LinkedIn help is free and everywhere. It is the first thing anyone searches. The real work gets judged against the free version before anyone hears the name.,Competing with free before the conversation starts.,,29
health-claim-ceiling,Health,The best line cannot be written,The line that would actually sell this is the one nobody is allowed to write. So the page goes vague in exactly the spot it needs to be sharp.,Copy that has to whisper the strongest thing about the work.,,29
